car name,origin,model year,mpg,cylinders,displacement,horsepower,weight,acceleration
chevrolet chevelle malibu,1,70,18,8,307,130,3504,12
buick skylark 320,1,70,15,8,350,165,3693,11.5
plymouth satellite,1,70,18,8,318,150,3436,11
amc rebel sst,1,70,16,8,304,150,3433,12
ford torino,1,70,17,8,302,140,3449,10.5
ford galaxie 500,1,70,15,8,429,198,4341,10
chevrolet impala,1,70,14,8,454,220,4354,9
plymouth fury iii,1,70,14,8,440,215,4312,8.5
pontiac catalina,1,70,14,8,455,225,4425,10
amc ambassador dpl,1,70,15,8,390,190,3850,8.5
dodge challenger se,1,70,15,8,383,170,3563,10
plymouth 'cuda 340,1,70,14,8,340,160,3609,8
chevrolet monte carlo,1,70,15,8,400,150,3761,9.5
buick estate wagon (sw),1,70,14,8,455,225,3086,10
toyota corona mark ii,3,70,24,4,113,95,2372,15
plymouth duster,1,70,22,6,198,95,2833,15.5
amc hornet,1,70,18,6,199,97,2774,15.5
ford maverick,1,70,21,6,200,85,2587,16
datsun pl510,3,70,27,4,97,88,2130,14.5
volkswagen 1131 deluxe sedan,2,70,26,4,97,46,1835,20.5
peugeot 504,2,70,25,4,110,87,2672,17.5
audi 100 ls,2,70,24,4,107,90,2430,14.5
saab 99e,2,70,25,4,104,95,2375,17.5
bmw 2002,2,70,26,4,121,113,2234,12.5
amc gremlin,1,70,21,6,199,90,2648,15
ford f250,1,70,10,8,360,215,4615,14
chevy c20,1,70,10,8,307,200,4376,15
dodge d200,1,70,11,8,318,210,4382,13.5
hi 1200d,1,70,9,8,304,193,4732,18.5
datsun pl510,3,71,27,4,97,88,2130,14.5
chevrolet vega 2300,1,71,28,4,140,90,2264,15.5
toyota corona,3,71,25,4,113,95,2228,14
ford pinto,1,71,25,4,98,?,2046,19
amc gremlin,1,71,19,6,232,100,2634,13
plymouth satellite custom,1,71,16,6,225,105,3439,15.5
chevrolet chevelle malibu,1,71,17,6,250,100,3329,15.5
ford torino 500,1,71,19,6,250,88,3302,15.5
amc matador,1,71,18,6,232,100,3288,15.5
chevrolet impala,1,71,14,8,350,165,4209,12
pontiac catalina brougham,1,71,14,8,400,175,4464,11.5
ford galaxie 500,1,71,14,8,351,153,4154,13.5
plymouth fury iii,1,71,14,8,318,150,4096,13
dodge monaco (sw),1,71,12,8,383,180,4955,11.5
ford country squire (sw),1,71,13,8,400,170,4746,12
pontiac safari (sw),1,71,13,8,400,175,5140,12
amc hornet sportabout (sw),1,71,18,6,258,110,2962,13.5
chevrolet vega (sw),1,71,22,4,140,72,2408,19
pontiac firebird,1,71,19,6,250,100,3282,15
ford mustang,1,71,18,6,250,88,3139,14.5
mercury capri 2000,1,71,23,4,122,86,2220,14
opel 1900,2,71,28,4,116,90,2123,14
peugeot 304,2,71,30,4,79,70,2074,19.5
fiat 124b,2,71,30,4,88,76,2065,14.5
toyota corolla 1200,3,71,31,4,71,65,1773,19
datsun 1200,3,71,35,4,72,69,1613,18
volkswagen model 111,2,71,27,4,97,60,1834,19
plymouth cricket,1,71,26,4,91,70,1955,20.5
toyota corona hardtop,3,72,24,4,113,95,2278,15.5
dodge colt hardtop,1,72,25,4,97.5,80,2126,17
volkswagen type 3,2,72,23,4,97,54,2254,23.5
chevrolet vega,1,72,20,4,140,90,2408,19.5
ford pinto runabout,1,72,21,4,122,86,2226,16.5
chevrolet impala,1,72,13,8,350,165,4274,12
pontiac catalina,1,72,14,8,400,175,4385,12
plymouth fury iii,1,72,15,8,318,150,4135,13.5
ford galaxie 500,1,72,14,8,351,153,4129,13
amc ambassador sst,1,72,17,8,304,150,3672,11.5
mercury marquis,1,72,11,8,429,208,4633,11
buick lesabre custom,1,72,13,8,350,155,4502,13.5
oldsmobile delta 88 royale,1,72,12,8,350,160,4456,13.5
chrysler newport royal,1,72,13,8,400,190,4422,12.5
mazda rx2 coupe,3,72,19,3,70,97,2330,13.5
amc matador (sw),1,72,15,8,304,150,3892,12.5
chevrolet chevelle concours (sw),1,72,13,8,307,130,4098,14
ford gran torino (sw),1,72,13,8,302,140,4294,16
plymouth satellite custom (sw),1,72,14,8,318,150,4077,14
volvo 145e (sw),2,72,18,4,121,112,2933,14.5
volkswagen 411 (sw),2,72,22,4,121,76,2511,18
peugeot 504 (sw),2,72,21,4,120,87,2979,19.5
renault 12 (sw),2,72,26,4,96,69,2189,18
ford pinto (sw),1,72,22,4,122,86,2395,16
datsun 510 (sw),3,72,28,4,97,92,2288,17
toyouta corona mark ii (sw),3,72,23,4,120,97,2506,14.5
dodge colt (sw),1,72,28,4,98,80,2164,15
toyota corolla 1600 (sw),3,72,27,4,97,88,2100,16.5
buick century 350,1,73,13,8,350,175,4100,13
amc matador,1,73,14,8,304,150,3672,11.5
chevrolet malibu,1,73,13,8,350,145,3988,13
ford gran torino,1,73,14,8,302,137,4042,14.5
dodge coronet custom,1,73,15,8,318,150,3777,12.5
mercury marquis brougham,1,73,12,8,429,198,4952,11.5
chevrolet caprice classic,1,73,13,8,400,150,4464,12
ford ltd,1,73,13,8,351,158,4363,13
plymouth fury gran sedan,1,73,14,8,318,150,4237,14.5
chrysler new yorker brougham,1,73,13,8,440,215,4735,11
buick electra 225 custom,1,73,12,8,455,225,4951,11
amc ambassador brougham,1,73,13,8,360,175,3821,11
plymouth valiant,1,73,18,6,225,105,3121,16.5
chevrolet nova custom,1,73,16,6,250,100,3278,18
amc hornet,1,73,18,6,232,100,2945,16
ford maverick,1,73,18,6,250,88,3021,16.5
plymouth duster,1,73,23,6,198,95,2904,16
volkswagen super beetle,2,73,26,4,97,46,1950,21
chevrolet impala,1,73,11,8,400,150,4997,14
ford country,1,73,12,8,400,167,4906,12.5
plymouth custom suburb,1,73,13,8,360,170,4654,13
oldsmobile vista cruiser,1,73,12,8,350,180,4499,12.5
amc gremlin,1,73,18,6,232,100,2789,15
toyota carina,3,73,20,4,97,88,2279,19
chevrolet vega,1,73,21,4,140,72,2401,19.5
datsun 610,3,73,22,4,108,94,2379,16.5
maxda rx3,3,73,18,3,70,90,2124,13.5
ford pinto,1,73,19,4,122,85,2310,18.5
mercury capri v6,1,73,21,6,155,107,2472,14
fiat 124 sport coupe,2,73,26,4,98,90,2265,15.5
chevrolet monte carlo s,1,73,15,8,350,145,4082,13
pontiac grand prix,1,73,16,8,400,230,4278,9.5
fiat 128,2,73,29,4,68,49,1867,19.5
opel manta,2,73,24,4,116,75,2158,15.5
audi 100ls,2,73,20,4,114,91,2582,14
volvo 144ea,2,73,19,4,121,112,2868,15.5
dodge dart custom,1,73,15,8,318,150,3399,11
saab 99le,2,73,24,4,121,110,2660,14
toyota mark ii,3,73,20,6,156,122,2807,13.5
oldsmobile omega,1,73,11,8,350,180,3664,11
plymouth duster,1,74,20,6,198,95,3102,16.5
ford maverick,1,74,21,6,200,?,2875,17
amc hornet,1,74,19,6,232,100,2901,16
chevrolet nova,1,74,15,6,250,100,3336,17
datsun b210,3,74,31,4,79,67,1950,19
ford pinto,1,74,26,4,122,80,2451,16.5
toyota corolla 1200,3,74,32,4,71,65,1836,21
chevrolet vega,1,74,25,4,140,75,2542,17
chevrolet chevelle malibu classic,1,74,16,6,250,100,3781,17
amc matador,1,74,16,6,258,110,3632,18
plymouth satellite sebring,1,74,18,6,225,105,3613,16.5
ford gran torino,1,74,16,8,302,140,4141,14
buick century luxus (sw),1,74,13,8,350,150,4699,14.5
dodge coronet custom (sw),1,74,14,8,318,150,4457,13.5
ford gran torino (sw),1,74,14,8,302,140,4638,16
amc matador (sw),1,74,14,8,304,150,4257,15.5
audi fox,2,74,29,4,98,83,2219,16.5
volkswagen dasher,2,74,26,4,79,67,1963,15.5
opel manta,2,74,26,4,97,78,2300,14.5
toyota corona,3,74,31,4,76,52,1649,16.5
datsun 710,3,74,32,4,83,61,2003,19
dodge colt,1,74,28,4,90,75,2125,14.5
fiat 128,2,74,24,4,90,75,2108,15.5
fiat 124 tc,2,74,26,4,116,75,2246,14
honda civic,3,74,24,4,120,97,2489,15
subaru,3,74,26,4,108,93,2391,15.5
fiat x1.9,2,74,31,4,79,67,2000,16
plymouth valiant custom,1,75,19,6,225,95,3264,16
chevrolet nova,1,75,18,6,250,105,3459,16
mercury monarch,1,75,15,6,250,72,3432,21
ford maverick,1,75,15,6,250,72,3158,19.5
pontiac catalina,1,75,16,8,400,170,4668,11.5
chevrolet bel air,1,75,15,8,350,145,4440,14
plymouth grand fury,1,75,16,8,318,150,4498,14.5
ford ltd,1,75,14,8,351,148,4657,13.5
buick century,1,75,17,6,231,110,3907,21
chevroelt chevelle malibu,1,75,16,6,250,105,3897,18.5
amc matador,1,75,15,6,258,110,3730,19
plymouth fury,1,75,18,6,225,95,3785,19
buick skyhawk,1,75,21,6,231,110,3039,15
chevrolet monza 2+2,1,75,20,8,262,110,3221,13.5
ford mustang ii,1,75,13,8,302,129,3169,12
toyota corolla,3,75,29,4,97,75,2171,16
ford pinto,1,75,23,4,140,83,2639,17
amc gremlin,1,75,20,6,232,100,2914,16
pontiac astro,1,75,23,4,140,78,2592,18.5
toyota corona,3,75,24,4,134,96,2702,13.5
volkswagen dasher,2,75,25,4,90,71,2223,16.5
datsun 710,3,75,24,4,119,97,2545,17
ford pinto,1,75,18,6,171,97,2984,14.5
volkswagen rabbit,2,75,29,4,90,70,1937,14
amc pacer,1,75,19,6,232,90,3211,17
audi 100ls,2,75,23,4,115,95,2694,15
peugeot 504,2,75,23,4,120,88,2957,17
volvo 244dl,2,75,22,4,121,98,2945,14.5
saab 99le,2,75,25,4,121,115,2671,13.5
honda civic cvcc,3,75,33,4,91,53,1795,17.5
fiat 131,2,76,28,4,107,86,2464,15.5
opel 1900,2,76,25,4,116,81,2220,16.9
capri ii,1,76,25,4,140,92,2572,14.9
dodge colt,1,76,26,4,98,79,2255,17.7
renault 12tl,2,76,27,4,101,83,2202,15.3
chevrolet chevelle malibu classic,1,76,17.5,8,305,140,4215,13
dodge coronet brougham,1,76,16,8,318,150,4190,13
amc matador,1,76,15.5,8,304,120,3962,13.9
ford gran torino,1,76,14.5,8,351,152,4215,12.8
plymouth valiant,1,76,22,6,225,100,3233,15.4
chevrolet nova,1,76,22,6,250,105,3353,14.5
ford maverick,1,76,24,6,200,81,3012,17.6
amc hornet,1,76,22.5,6,232,90,3085,17.6
chevrolet chevette,1,76,29,4,85,52,2035,22.2
chevrolet woody,1,76,24.5,4,98,60,2164,22.1
vw rabbit,2,76,29,4,90,70,1937,14.2
honda civic,3,76,33,4,91,53,1795,17.4
dodge aspen se,1,76,20,6,225,100,3651,17.7
ford granada ghia,1,76,18,6,250,78,3574,21
pontiac ventura sj,1,76,18.5,6,250,110,3645,16.2
amc pacer d/l,1,76,17.5,6,258,95,3193,17.8
volkswagen rabbit,2,76,29.5,4,97,71,1825,12.2
datsun b-210,3,76,32,4,85,70,1990,17
toyota corolla,3,76,28,4,97,75,2155,16.4
ford pinto,1,76,26.5,4,140,72,2565,13.6
volvo 245,2,76,20,4,130,102,3150,15.7
plymouth volare premier v8,1,76,13,8,318,150,3940,13.2
peugeot 504,2,76,19,4,120,88,3270,21.9
toyota mark ii,3,76,19,6,156,108,2930,15.5
mercedes-benz 280s,2,76,16.5,6,168,120,3820,16.7
cadillac seville,1,76,16.5,8,350,180,4380,12.1
chevy c10,1,76,13,8,350,145,4055,12
ford f108,1,76,13,8,302,130,3870,15
dodge d100,1,76,13,8,318,150,3755,14
honda accord cvcc,3,77,31.5,4,98,68,2045,18.5
buick opel isuzu deluxe,1,77,30,4,111,80,2155,14.8
renault 5 gtl,2,77,36,4,79,58,1825,18.6
plymouth arrow gs,1,77,25.5,4,122,96,2300,15.5
datsun f-10 hatchback,3,77,33.5,4,85,70,1945,16.8
chevrolet caprice classic,1,77,17.5,8,305,145,3880,12.5
oldsmobile cutlass supreme,1,77,17,8,260,110,4060,19
dodge monaco brougham,1,77,15.5,8,318,145,4140,13.7
mercury cougar brougham,1,77,15,8,302,130,4295,14.9
chevrolet concours,1,77,17.5,6,250,110,3520,16.4
buick skylark,1,77,20.5,6,231,105,3425,16.9
plymouth volare custom,1,77,19,6,225,100,3630,17.7
ford granada,1,77,18.5,6,250,98,3525,19
pontiac grand prix lj,1,77,16,8,400,180,4220,11.1
chevrolet monte carlo landau,1,77,15.5,8,350,170,4165,11.4
chrysler cordoba,1,77,15.5,8,400,190,4325,12.2
ford thunderbird,1,77,16,8,351,149,4335,14.5
volkswagen rabbit custom,2,77,29,4,97,78,1940,14.5
pontiac sunbird coupe,1,77,24.5,4,151,88,2740,16
toyota corolla liftback,3,77,26,4,97,75,2265,18.2
ford mustang ii 2+2,1,77,25.5,4,140,89,2755,15.8
chevrolet chevette,1,77,30.5,4,98,63,2051,17
dodge colt m/m,1,77,33.5,4,98,83,2075,15.9
subaru dl,3,77,30,4,97,67,1985,16.4
volkswagen dasher,2,77,30.5,4,97,78,2190,14.1
datsun 810,3,77,22,6,146,97,2815,14.5
bmw 320i,2,77,21.5,4,121,110,2600,12.8
mazda rx-4,3,77,21.5,3,80,110,2720,13.5
volkswagen rabbit custom diesel,2,78,43.1,4,90,48,1985,21.5
ford fiesta,1,78,36.1,4,98,66,1800,14.4
mazda glc deluxe,3,78,32.8,4,78,52,1985,19.4
datsun b210 gx,3,78,39.4,4,85,70,2070,18.6
honda civic cvcc,3,78,36.1,4,91,60,1800,16.4
oldsmobile cutlass salon brougham,1,78,19.9,8,260,110,3365,15.5
dodge diplomat,1,78,19.4,8,318,140,3735,13.2
mercury monarch ghia,1,78,20.2,8,302,139,3570,12.8
pontiac phoenix lj,1,78,19.2,6,231,105,3535,19.2
chevrolet malibu,1,78,20.5,6,200,95,3155,18.2
ford fairmont (auto),1,78,20.2,6,200,85,2965,15.8
ford fairmont (man),1,78,25.1,4,140,88,2720,15.4
plymouth volare,1,78,20.5,6,225,100,3430,17.2
amc concord,1,78,19.4,6,232,90,3210,17.2
buick century special,1,78,20.6,6,231,105,3380,15.8
mercury zephyr,1,78,20.8,6,200,85,3070,16.7
dodge aspen,1,78,18.6,6,225,110,3620,18.7
amc concord d/l,1,78,18.1,6,258,120,3410,15.1
chevrolet monte carlo landau,1,78,19.2,8,305,145,3425,13.2
buick regal sport coupe (turbo),1,78,17.7,6,231,165,3445,13.4
ford futura,1,78,18.1,8,302,139,3205,11.2
dodge magnum xe,1,78,17.5,8,318,140,4080,13.7
chevrolet chevette,1,78,30,4,98,68,2155,16.5
toyota corona,3,78,27.5,4,134,95,2560,14.2
datsun 510,3,78,27.2,4,119,97,2300,14.7
dodge omni,1,78,30.9,4,105,75,2230,14.5
toyota celica gt liftback,3,78,21.1,4,134,95,2515,14.8
plymouth sapporo,1,78,23.2,4,156,105,2745,16.7
oldsmobile starfire sx,1,78,23.8,4,151,85,2855,17.6
datsun 200-sx,3,78,23.9,4,119,97,2405,14.9
audi 5000,2,78,20.3,5,131,103,2830,15.9
volvo 264gl,2,78,17,6,163,125,3140,13.6
saab 99gle,2,78,21.6,4,121,115,2795,15.7
peugeot 604sl,2,78,16.2,6,163,133,3410,15.8
volkswagen scirocco,2,78,31.5,4,89,71,1990,14.9
honda accord lx,3,78,29.5,4,98,68,2135,16.6
pontiac lemans v6,1,79,21.5,6,231,115,3245,15.4
mercury zephyr 6,1,79,19.8,6,200,85,2990,18.2
ford fairmont 4,1,79,22.3,4,140,88,2890,17.3
amc concord dl 6,1,79,20.2,6,232,90,3265,18.2
dodge aspen 6,1,79,20.6,6,225,110,3360,16.6
chevrolet caprice classic,1,79,17,8,305,130,3840,15.4
ford ltd landau,1,79,17.6,8,302,129,3725,13.4
mercury grand marquis,1,79,16.5,8,351,138,3955,13.2
dodge st. regis,1,79,18.2,8,318,135,3830,15.2
buick estate wagon (sw),1,79,16.9,8,350,155,4360,14.9
ford country squire (sw),1,79,15.5,8,351,142,4054,14.3
chevrolet malibu classic (sw),1,79,19.2,8,267,125,3605,15
chrysler lebaron town @ country (sw),1,79,18.5,8,360,150,3940,13
vw rabbit custom,2,79,31.9,4,89,71,1925,14
maxda glc deluxe,3,79,34.1,4,86,65,1975,15.2
dodge colt hatchback custom,1,79,35.7,4,98,80,1915,14.4
amc spirit dl,1,79,27.4,4,121,80,2670,15
mercedes benz 300d,2,79,25.4,5,183,77,3530,20.1
cadillac eldorado,1,79,23,8,350,125,3900,17.4
peugeot 504,2,79,27.2,4,141,71,3190,24.8
oldsmobile cutlass salon brougham,1,79,23.9,8,260,90,3420,22.2
plymouth horizon,1,79,34.2,4,105,70,2200,13.2
plymouth horizon tc3,1,79,34.5,4,105,70,2150,14.9
datsun 210,3,79,31.8,4,85,65,2020,19.2
fiat strada custom,2,79,37.3,4,91,69,2130,14.7
buick skylark limited,1,79,28.4,4,151,90,2670,16
chevrolet citation,1,79,28.8,6,173,115,2595,11.3
oldsmobile omega brougham,1,79,26.8,6,173,115,2700,12.9
pontiac phoenix,1,79,33.5,4,151,90,2556,13.2
vw rabbit,2,80,41.5,4,98,76,2144,14.7
toyota corolla tercel,3,80,38.1,4,89,60,1968,18.8
chevrolet chevette,1,80,32.1,4,98,70,2120,15.5
datsun 310,3,80,37.2,4,86,65,2019,16.4
chevrolet citation,1,80,28,4,151,90,2678,16.5
ford fairmont,1,80,26.4,4,140,88,2870,18.1
amc concord,1,80,24.3,4,151,90,3003,20.1
dodge aspen,1,80,19.1,6,225,90,3381,18.7
audi 4000,2,80,34.3,4,97,78,2188,15.8
toyota corona liftback,3,80,29.8,4,134,90,2711,15.5
mazda 626,3,80,31.3,4,120,75,2542,17.5
datsun 510 hatchback,3,80,37,4,119,92,2434,15
toyota corolla,3,80,32.2,4,108,75,2265,15.2
mazda glc,3,80,46.6,4,86,65,2110,17.9
dodge colt,1,80,27.9,4,156,105,2800,14.4
datsun 210,3,80,40.8,4,85,65,2110,19.2
vw rabbit c (diesel),2,80,44.3,4,90,48,2085,21.7
vw dasher (diesel),2,80,43.4,4,90,48,2335,23.7
audi 5000s (diesel),2,80,36.4,5,121,67,2950,19.9
mercedes-benz 240d,2,80,30,4,146,67,3250,21.8
honda civic 1500 gl,3,80,44.6,4,91,67,1850,13.8
renault lecar deluxe,2,80,40.9,4,85,?,1835,17.3
subaru dl,3,80,33.8,4,97,67,2145,18
vokswagen rabbit,2,80,29.8,4,89,62,1845,15.3
datsun 280-zx,3,80,32.7,6,168,132,2910,11.4
mazda rx-7 gs,3,80,23.7,3,70,100,2420,12.5
triumph tr7 coupe,2,80,35,4,122,88,2500,15.1
ford mustang cobra,1,80,23.6,4,140,?,2905,14.3
honda accord,3,80,32.4,4,107,72,2290,17
plymouth reliant,1,81,27.2,4,135,84,2490,15.7
buick skylark,1,81,26.6,4,151,84,2635,16.4
dodge aries wagon (sw),1,81,25.8,4,156,92,2620,14.4
chevrolet citation,1,81,23.5,6,173,110,2725,12.6
plymouth reliant,1,81,30,4,135,84,2385,12.9
toyota starlet,3,81,39.1,4,79,58,1755,16.9
plymouth champ,1,81,39,4,86,64,1875,16.4
honda civic 1300,3,81,35.1,4,81,60,1760,16.1
subaru,3,81,32.3,4,97,67,2065,17.8
datsun 210 mpg,3,81,37,4,85,65,1975,19.4
toyota tercel,3,81,37.7,4,89,62,2050,17.3
mazda glc 4,3,81,34.1,4,91,68,1985,16
plymouth horizon 4,1,81,34.7,4,105,63,2215,14.9
ford escort 4w,1,81,34.4,4,98,65,2045,16.2
ford escort 2h,1,81,29.9,4,98,65,2380,20.7
volkswagen jetta,2,81,33,4,105,74,2190,14.2
renault 18i,2,81,34.5,4,100,?,2320,15.8
honda prelude,3,81,33.7,4,107,75,2210,14.4
toyota corolla,3,81,32.4,4,108,75,2350,16.8
datsun 200sx,3,81,32.9,4,119,100,2615,14.8
mazda 626,3,81,31.6,4,120,74,2635,18.3
peugeot 505s turbo diesel,2,81,28.1,4,141,80,3230,20.4
volvo diesel,2,81,30.7,6,145,76,3160,19.6
toyota cressida,3,81,25.4,6,168,116,2900,12.6
datsun 810 maxima,3,81,24.2,6,146,120,2930,13.8
buick century,1,81,22.4,6,231,110,3415,15.8
oldsmobile cutlass ls,1,81,26.6,8,350,105,3725,19
ford granada gl,1,81,20.2,6,200,88,3060,17.1
chrysler lebaron salon,1,81,17.6,6,225,85,3465,16.6
chevrolet cavalier,1,82,28,4,112,88,2605,19.6
chevrolet cavalier wagon,1,82,27,4,112,88,2640,18.6
chevrolet cavalier 2-door,1,82,34,4,112,88,2395,18
pontiac j2000 se hatchback,1,82,31,4,112,85,2575,16.2
dodge aries se,1,82,29,4,135,84,2525,16
pontiac phoenix,1,82,27,4,151,90,2735,18
ford fairmont futura,1,82,24,4,140,92,2865,16.4
amc concord dl,1,82,23,4,151,?,3035,20.5
volkswagen rabbit l,2,82,36,4,105,74,1980,15.3
mazda glc custom l,3,82,37,4,91,68,2025,18.2
mazda glc custom,3,82,31,4,91,68,1970,17.6
plymouth horizon miser,1,82,38,4,105,63,2125,14.7
mercury lynx l,1,82,36,4,98,70,2125,17.3
nissan stanza xe,3,82,36,4,120,88,2160,14.5
honda accord,3,82,36,4,107,75,2205,14.5
toyota corolla,3,82,34,4,108,70,2245,16.9
honda civic,3,82,38,4,91,67,1965,15
honda civic (auto),3,82,32,4,91,67,1965,15.7
datsun 310 gx,3,82,38,4,91,67,1995,16.2
buick century limited,1,82,25,6,181,110,2945,16.4
oldsmobile cutlass ciera (diesel),1,82,38,6,262,85,3015,17
chrysler lebaron medallion,1,82,26,4,156,92,2585,14.5
ford granada l,1,82,22,6,232,112,2835,14.7
toyota celica gt,3,82,32,4,144,96,2665,13.9
dodge charger 2.2,1,82,36,4,135,84,2370,13
chevrolet camaro,1,82,27,4,151,90,2950,17.3
ford mustang gl,1,82,27,4,140,86,2790,15.6
vw pickup,2,82,44,4,97,52,2130,24.6
dodge rampage,1,82,32,4,135,84,2295,11.6
ford ranger,1,82,28,4,120,79,2625,18.6
chevy s-10,1,82,31,4,119,82,2720,19.4
